date,day_of_week,week_iso,avg_heart_rate,min_heart_rate,max_heart_rate,resting_heart_rate,hrv_mean,total_steps,total_distance_km,active_energy_kcal,basal_energy_kcal,flights_climbed,exercise_minutes,stand_hours,avg_blood_oxygen,avg_respiratory_rate,body_mass_kg,vo2max,sleep_hours,workout_count,workout_minutes,description
2026-03-15,Sunday,2026-W11,,,,,,,,,,,,,,11.5,,,1.5,0,0,"Sunday, 2026-03-15. Slept 1.5 hours."
2026-03-16,Monday,2026-W12,77.2,49.0,166.0,58.0,36.8,7764,5.43,492.9,,,,,99.0,15.8,,,10.2,1,17.2,"Monday, 2026-03-16. 7,764 steps. Average HR 77.2 bpm. Resting HR 58.0 bpm. HRV 36.8 ms. Slept 10.2 hours. Burned 492 active kcal. 1 workout(s), 17 minutes total. SpO2 99.0%."
2026-03-17,Tuesday,2026-W12,90.3,61.0,161.0,68.0,43.8,12277,8.59,289.9,,,,,,,,,1.6,1,63.3,"Tuesday, 2026-03-17. 12,277 steps. Average HR 90.3 bpm. Resting HR 68.0 bpm. HRV 43.8 ms. Slept 1.6 hours. Burned 289 active kcal. 1 workout(s), 63 minutes total."
2026-03-18,Wednesday,2026-W12,76.4,61.0,94.0,63.0,51.1,8588,6.01,222.8,,,,,97.0,15.1,,,5.8,0,0,"Wednesday, 2026-03-18. 8,588 steps. Average HR 76.4 bpm. Resting HR 63.0 bpm. HRV 51.1 ms. Slept 5.8 hours. Burned 222 active kcal. SpO2 97.0%."
2026-03-19,Thursday,2026-W12,75.0,58.0,91.0,59.0,28.2,10069,7.05,287.9,,,,,97.0,,,,4.0,0,0,"Thursday, 2026-03-19. 10,069 steps. Average HR 75.0 bpm. Resting HR 59.0 bpm. HRV 28.2 ms. Slept 4.0 hours. Burned 287 active kcal. SpO2 97.0%."
2026-03-20,Friday,2026-W12,89.0,66.0,152.0,70.0,46.1,6462,4.52,538.5,,,,,,13.8,,,6.0,1,48.8,"Friday, 2026-03-20. 6,462 steps. Average HR 89.0 bpm. Resting HR 70.0 bpm. HRV 46.1 ms. Slept 6.0 hours. Burned 538 active kcal. 1 workout(s), 48 minutes total."
2026-03-21,Saturday,2026-W12,81.8,53.0,186.0,63.0,41.8,18104,12.67,375.2,,,,,97.0,16.3,,,6.6,1,34.7,"Saturday, 2026-03-21. 18,104 steps. Average HR 81.8 bpm. Resting HR 63.0 bpm. HRV 41.8 ms. Slept 6.6 hours. Burned 375 active kcal. 1 workout(s), 34 minutes total. SpO2 97.0%."
2026-03-22,Sunday,2026-W12,88.9,66.0,167.0,67.0,50.4,13143,9.2,506.8,,,,,,13.6,,,7.4,1,53.8,"Sunday, 2026-03-22. 13,143 steps. Average HR 88.9 bpm. Resting HR 67.0 bpm. HRV 50.4 ms. Slept 7.4 hours. Burned 506 active kcal. 1 workout(s), 53 minutes total."
2026-03-23,Monday,2026-W13,83.6,58.0,152.0,59.0,32.0,14921,10.44,401.5,,,,,98.0,14.7,,,6.3,1,28.3,"Monday, 2026-03-23. 14,921 steps. Average HR 83.6 bpm. Resting HR 59.0 bpm. HRV 32.0 ms. Slept 6.3 hours. Burned 401 active kcal. 1 workout(s), 28 minutes total. SpO2 98.0%."
2026-03-24,Tuesday,2026-W13,84.4,70.0,105.0,69.0,33.2,7941,5.56,159.3,,,,,100.0,15.3,,,9.2,0,0,"Tuesday, 2026-03-24. 7,941 steps. Average HR 84.4 bpm. Resting HR 69.0 bpm. HRV 33.2 ms. Slept 9.2 hours. Burned 159 active kcal. SpO2 100.0%."
2026-03-25,Wednesday,2026-W13,85.5,54.0,171.0,60.0,41.3,14731,10.31,341.2,,,,,98.0,15.8,,,0.8,1,63.7,"Wednesday, 2026-03-25. 14,731 steps. Average HR 85.5 bpm. Resting HR 60.0 bpm. HRV 41.3 ms. Slept 0.8 hours. Burned 341 active kcal. 1 workout(s), 63 minutes total. SpO2 98.0%."
2026-03-26,Thursday,2026-W13,83.9,61.0,99.0,70.0,35.9,6466,4.53,254.8,,,,,,,,,7.3,0,0,"Thursday, 2026-03-26. 6,466 steps. Average HR 83.9 bpm. Resting HR 70.0 bpm. HRV 35.9 ms. Slept 7.3 hours. Burned 254 active kcal."
2026-03-27,Friday,2026-W13,77.7,50.0,145.0,58.0,35.0,12093,8.47,379.7,,,,,97.0,17.2,,,4.9,1,63.4,"Friday, 2026-03-27. 12,093 steps. Average HR 77.7 bpm. Resting HR 58.0 bpm. HRV 35.0 ms. Slept 4.9 hours. Burned 379 active kcal. 1 workout(s), 63 minutes total. SpO2 97.0%."
2026-03-28,Saturday,2026-W13,75.5,53.0,94.0,60.0,50.0,7534,5.27,312.9,,,,,,15.1,,,1.2,0,0,"Saturday, 2026-03-28. 7,534 steps. Average HR 75.5 bpm. Resting HR 60.0 bpm. HRV 50.0 ms. Slept 1.2 hours. Burned 312 active kcal."
2026-03-29,Sunday,2026-W13,69.9,53.0,88.0,56.0,53.8,8863,6.2,288.6,,,,,99.0,,,,4.8,0,0,"Sunday, 2026-03-29. 8,863 steps. Average HR 69.9 bpm. Resting HR 56.0 bpm. HRV 53.8 ms. Slept 4.8 hours. Burned 288 active kcal. SpO2 99.0%."
2026-03-30,Monday,2026-W14,82.1,58.0,148.0,62.0,51.0,10592,7.41,404.5,,,,,96.0,15.2,,,7.0,1,24.5,"Monday, 2026-03-30. 10,592 steps. Average HR 82.1 bpm. Resting HR 62.0 bpm. HRV 51.0 ms. Slept 7.0 hours. Burned 404 active kcal. 1 workout(s), 24 minutes total. SpO2 96.0%."
2026-03-31,Tuesday,2026-W14,82.2,65.0,105.0,67.0,37.5,7197,5.04,229.4,,,,,97.0,,,,5.7,0,0,"Tuesday, 2026-03-31. 7,197 steps. Average HR 82.2 bpm. Resting HR 67.0 bpm. HRV 37.5 ms. Slept 5.7 hours. Burned 229 active kcal. SpO2 97.0%."
2026-04-01,Wednesday,2026-W14,77.7,62.0,95.0,62.0,45.9,11506,8.05,229.6,,,,,97.0,13.1,,,6.9,0,0,"Wednesday, 2026-04-01. 11,506 steps. Average HR 77.7 bpm. Resting HR 62.0 bpm. HRV 45.9 ms. Slept 6.9 hours. Burned 229 active kcal. SpO2 97.0%."
2026-04-02,Thursday,2026-W14,83.2,46.0,156.0,59.0,46.3,11614,8.13,424.7,,,,,,,,,6.7,1,37.9,"Thursday, 2026-04-02. 11,614 steps. Average HR 83.2 bpm. Resting HR 59.0 bpm. HRV 46.3 ms. Slept 6.7 hours. Burned 424 active kcal. 1 workout(s), 37 minutes total."
2026-04-03,Friday,2026-W14,71.5,47.0,94.0,56.0,42.6,9442,6.61,269.7,,,,,98.0,,,,8.7,0,0,"Friday, 2026-04-03. 9,442 steps. Average HR 71.5 bpm. Resting HR 56.0 bpm. HRV 42.6 ms. Slept 8.7 hours. Burned 269 active kcal. SpO2 98.0%."
2026-04-04,Saturday,2026-W14,90.3,61.0,181.0,65.0,51.2,14640,10.25,354.0,,,,,97.0,,,,1.1,1,33.7,"Saturday, 2026-04-04. 14,640 steps. Average HR 90.3 bpm. Resting HR 65.0 bpm. HRV 51.2 ms. Slept 1.1 hours. Burned 354 active kcal. 1 workout(s), 33 minutes total. SpO2 97.0%."
2026-04-05,Sunday,2026-W14,83.2,58.0,161.0,56.0,39.9,13350,9.35,430.3,,,,,98.0,,,,10.7,1,47.7,"Sunday, 2026-04-05. 13,350 steps. Average HR 83.2 bpm. Resting HR 56.0 bpm. HRV 39.9 ms. Slept 10.7 hours. Burned 430 active kcal. 1 workout(s), 47 minutes total. SpO2 98.0%."
2026-04-06,Monday,2026-W15,77.8,63.0,92.0,62.0,66.3,7832,5.48,329.7,,,,,97.0,,,,2.4,0,0,"Monday, 2026-04-06. 7,832 steps. Average HR 77.8 bpm. Resting HR 62.0 bpm. HRV 66.3 ms. Slept 2.4 hours. Burned 329 active kcal. SpO2 97.0%."
2026-04-07,Tuesday,2026-W15,78.9,61.0,154.0,59.0,50.9,11042,7.73,466.0,,,,,,11.4,,,5.0,1,57.0,"Tuesday, 2026-04-07. 11,042 steps. Average HR 78.9 bpm. Resting HR 59.0 bpm. HRV 50.9 ms. Slept 5.0 hours. Burned 466 active kcal. 1 workout(s), 57 minutes total."
2026-04-08,Wednesday,2026-W15,83.0,45.0,157.0,59.0,44.4,8285,5.8,387.4,,,,,96.0,,,,7.0,1,26.4,"Wednesday, 2026-04-08. 8,285 steps. Average HR 83.0 bpm. Resting HR 59.0 bpm. HRV 44.4 ms. Slept 7.0 hours. Burned 387 active kcal. 1 workout(s), 26 minutes total. SpO2 96.0%."
2026-04-09,Thursday,2026-W15,79.0,58.0,150.0,59.0,45.5,14154,9.91,429.7,,,,,96.0,13.7,,,5.4,1,32.1,"Thursday, 2026-04-09. 14,154 steps. Average HR 79.0 bpm. Resting HR 59.0 bpm. HRV 45.5 ms. Slept 5.4 hours. Burned 429 active kcal. 1 workout(s), 32 minutes total. SpO2 96.0%."
2026-04-10,Friday,2026-W15,79.3,53.0,167.0,56.0,44.6,12735,8.91,438.7,,,,,,15.5,,,8.8,1,16.4,"Friday, 2026-04-10. 12,735 steps. Average HR 79.3 bpm. Resting HR 56.0 bpm. HRV 44.6 ms. Slept 8.8 hours. Burned 438 active kcal. 1 workout(s), 16 minutes total."
2026-04-11,Saturday,2026-W15,81.1,63.0,96.0,66.0,49.2,10193,7.14,302.8,,,,,,,,,0.8,0,0,"Saturday, 2026-04-11. 10,193 steps. Average HR 81.1 bpm. Resting HR 66.0 bpm. HRV 49.2 ms. Slept 0.8 hours. Burned 302 active kcal."
2026-04-12,Sunday,2026-W15,76.9,54.0,91.0,61.0,30.4,2907,2.03,215.6,,,,,,,,,7.5,0,0,"Sunday, 2026-04-12. 2,907 steps. Average HR 76.9 bpm. Resting HR 61.0 bpm. HRV 30.4 ms. Slept 7.5 hours. Burned 215 active kcal."
2026-04-13,Monday,2026-W16,74.9,53.0,95.0,60.0,32.5,9785,6.85,204.9,,,,,98.0,,,,3.7,0,0,"Monday, 2026-04-13. 9,785 steps. Average HR 74.9 bpm. Resting HR 60.0 bpm. HRV 32.5 ms. Slept 3.7 hours. Burned 204 active kcal. SpO2 98.0%."
2026-04-14,Tuesday,2026-W16,90.1,60.0,148.0,69.0,45.4,13742,9.62,367.1,,,,,,,,,5.2,1,46.4,"Tuesday, 2026-04-14. 13,742 steps. Average HR 90.1 bpm. Resting HR 69.0 bpm. HRV 45.4 ms. Slept 5.2 hours. Burned 367 active kcal. 1 workout(s), 46 minutes total."
