uid,activity_type,source_name,duration_min,total_distance,total_distance_unit,total_energy_burned,total_energy_burned_unit,start_date,end_date,device,date
Yoga_2026-03-16T07:14:40+01:00,Yoga,Apple Watch,17.2,1.57,km,184.0,kcal,2026-03-16T07:14:40+01:00,2026-03-16T07:31:51+01:00,,2026-03-16
Running_2026-03-17T07:21:40+01:00,Running,Apple Watch,63.3,5.93,km,719.0,kcal,2026-03-17T07:21:40+01:00,2026-03-17T08:25:00+01:00,,2026-03-17
TraditionalStrengthTraining_2026-03-20T07:10:40+01:00,TraditionalStrengthTraining,Apple Watch,48.8,6.22,km,402.0,kcal,2026-03-20T07:10:40+01:00,2026-03-20T07:59:28+01:00,,2026-03-20
Cycling_2026-03-21T07:14:40+01:00,Cycling,Apple Watch,34.7,3.23,km,289.0,kcal,2026-03-21T07:14:40+01:00,2026-03-21T07:49:25+01:00,,2026-03-21
TraditionalStrengthTraining_2026-03-22T07:20:40+01:00,TraditionalStrengthTraining,Apple Watch,53.8,4.46,km,453.0,kcal,2026-03-22T07:20:40+01:00,2026-03-22T08:14:27+01:00,,2026-03-22
TraditionalStrengthTraining_2026-03-23T07:08:40+01:00,TraditionalStrengthTraining,Apple Watch,28.3,3.07,km,214.0,kcal,2026-03-23T07:08:40+01:00,2026-03-23T07:36:55+01:00,,2026-03-23
HighIntensityIntervalTraining_2026-03-25T07:19:40+01:00,HighIntensityIntervalTraining,Apple Watch,63.7,9.06,km,413.0,kcal,2026-03-25T07:19:40+01:00,2026-03-25T08:23:21+01:00,,2026-03-25
Cycling_2026-03-27T07:24:40+01:00,Cycling,Apple Watch,63.4,3.68,km,568.0,kcal,2026-03-27T07:24:40+01:00,2026-03-27T08:28:05+01:00,,2026-03-27
Cycling_2026-03-30T07:23:40+01:00,Cycling,Apple Watch,24.5,1.5,km,263.0,kcal,2026-03-30T07:23:40+01:00,2026-03-30T07:48:09+01:00,,2026-03-30
TraditionalStrengthTraining_2026-04-02T07:02:40+01:00,TraditionalStrengthTraining,Apple Watch,37.9,1.95,km,285.0,kcal,2026-04-02T07:02:40+01:00,2026-04-02T07:40:33+01:00,,2026-04-02
Running_2026-04-04T07:10:40+01:00,Running,Apple Watch,33.7,3.72,km,217.0,kcal,2026-04-04T07:10:40+01:00,2026-04-04T07:44:22+01:00,,2026-04-04
Walking_2026-04-05T07:29:40+01:00,Walking,Apple Watch,47.7,5.13,km,296.0,kcal,2026-04-05T07:29:40+01:00,2026-04-05T08:17:22+01:00,,2026-04-05
Yoga_2026-04-07T07:21:40+01:00,Yoga,Apple Watch,57.0,3.29,km,388.0,kcal,2026-04-07T07:21:40+01:00,2026-04-07T08:18:37+01:00,,2026-04-07
TraditionalStrengthTraining_2026-04-08T07:30:40+01:00,TraditionalStrengthTraining,Apple Watch,26.4,1.59,km,183.0,kcal,2026-04-08T07:30:40+01:00,2026-04-08T07:57:06+01:00,,2026-04-08
Walking_2026-04-09T07:20:40+01:00,Walking,Apple Watch,32.1,3.88,km,320.0,kcal,2026-04-09T07:20:40+01:00,2026-04-09T07:52:46+01:00,,2026-04-09
Yoga_2026-04-10T07:15:40+01:00,Yoga,Apple Watch,16.4,1.08,km,196.0,kcal,2026-04-10T07:15:40+01:00,2026-04-10T07:32:06+01:00,,2026-04-10
Cycling_2026-04-14T07:14:40+01:00,Cycling,Apple Watch,46.4,6.85,km,549.0,kcal,2026-04-14T07:14:40+01:00,2026-04-14T08:01:04+01:00,,2026-04-14
