date,active_energy_burned,active_energy_burned_goal,apple_exercise_time,apple_exercise_time_goal,apple_stand_hours,apple_stand_hours_goal
2025-04-15,602.0,500.0,42.0,30.0,13.0,12.0
2025-04-16,382.0,500.0,28.0,30.0,7.0,12.0
2025-04-17,565.0,500.0,41.0,30.0,7.0,12.0
2025-04-18,603.0,500.0,12.0,30.0,11.0,12.0
2025-04-19,1015.0,500.0,84.0,30.0,13.0,12.0
2025-04-20,310.0,500.0,14.0,30.0,9.0,12.0
2025-04-21,763.0,500.0,56.0,30.0,10.0,12.0
2025-04-22,734.0,500.0,52.0,30.0,7.0,12.0
2025-04-23,439.0,500.0,40.0,30.0,12.0,12.0
2025-04-24,531.0,500.0,11.0,30.0,12.0,12.0
2025-04-25,768.0,500.0,66.0,30.0,9.0,12.0
2025-04-26,589.0,500.0,12.0,30.0,12.0,12.0
2025-04-27,326.0,500.0,6.0,30.0,9.0,12.0
2025-04-28,759.0,500.0,39.0,30.0,8.0,12.0
2025-04-29,775.0,500.0,42.0,30.0,11.0,12.0
2025-04-30,402.0,500.0,6.0,30.0,10.0,12.0
2025-05-01,965.0,500.0,59.0,30.0,9.0,12.0
2025-05-02,781.0,500.0,64.0,30.0,7.0,12.0
2025-05-03,836.0,500.0,70.0,30.0,9.0,12.0
2025-05-04,284.0,500.0,6.0,30.0,7.0,12.0
2025-05-05,814.0,500.0,35.0,30.0,8.0,12.0
2025-05-06,788.0,500.0,60.0,30.0,6.0,12.0
2025-05-07,367.0,500.0,19.0,30.0,9.0,12.0
2025-05-08,747.0,500.0,55.0,30.0,10.0,12.0
2025-05-09,699.0,500.0,22.0,30.0,8.0,12.0
2025-05-10,581.0,500.0,12.0,30.0,9.0,12.0
2025-05-11,285.0,500.0,4.0,30.0,11.0,12.0
2025-05-12,739.0,500.0,53.0,30.0,11.0,12.0
2025-05-13,634.0,500.0,48.0,30.0,8.0,12.0
2025-05-14,418.0,500.0,16.0,30.0,12.0,12.0
2025-05-15,590.0,500.0,39.0,30.0,13.0,12.0
2025-05-16,649.0,500.0,29.0,30.0,11.0,12.0
2025-05-17,772.0,500.0,39.0,30.0,10.0,12.0
2025-05-18,414.0,500.0,11.0,30.0,11.0,12.0
2025-05-19,470.0,500.0,11.0,30.0,7.0,12.0
2025-05-20,575.0,500.0,45.0,30.0,11.0,12.0
2025-05-21,573.0,500.0,34.0,30.0,6.0,12.0
2025-05-22,533.0,500.0,11.0,30.0,13.0,12.0
