identifier,display_name,unit,category
HKQuantityTypeIdentifierRestingHeartRate,RestingHeartRate,count/min,quantity
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,HeartRateVariabilitySDNN,ms,quantity
HKQuantityTypeIdentifierHeartRate,HeartRate,count/min,quantity
HKQuantityTypeIdentifierStepCount,StepCount,count,quantity
HKQuantityTypeIdentifierDistanceWalkingRunning,DistanceWalkingRunning,km,quantity
HKQuantityTypeIdentifierActiveEnergyBurned,ActiveEnergyBurned,kcal,quantity
HKQuantityTypeIdentifierBasalEnergyBurned,BasalEnergyBurned,kcal,quantity
HKCategoryTypeIdentifierSleepAnalysis,SleepAnalysis,,category
HKQuantityTypeIdentifierOxygenSaturation,OxygenSaturation,%,quantity
HKQuantityTypeIdentifierRespiratoryRate,RespiratoryRate,count/min,quantity
HKQuantityTypeIdentifierWalkingSpeed,WalkingSpeed,m/s,quantity
HKQuantityTypeIdentifierAppleExerciseTime,AppleExerciseTime,min,quantity
HKCategoryTypeIdentifierAppleStandHour,AppleStandHour,,category
HKQuantityTypeIdentifierFlightsClimbed,FlightsClimbed,count,quantity
HKQuantityTypeIdentifierVO2Max,VO2Max,mL/min·kg,quantity
HKQuantityTypeIdentifierBodyMass,BodyMass,kg,quantity
