from_type,from_id,to_type,to_id,rel_type,hours_between
Day,2025-04-14,Day,2025-04-15,NEXT_DAY,
Day,2025-04-15,Day,2025-04-16,NEXT_DAY,
Day,2025-04-16,Day,2025-04-17,NEXT_DAY,
Day,2025-04-17,Day,2025-04-18,NEXT_DAY,
Day,2025-04-18,Day,2025-04-19,NEXT_DAY,
Day,2025-04-19,Day,2025-04-20,NEXT_DAY,
Day,2025-04-20,Day,2025-04-21,NEXT_DAY,
Day,2025-04-21,Day,2025-04-22,NEXT_DAY,
Day,2025-04-22,Day,2025-04-23,NEXT_DAY,
Day,2025-04-23,Day,2025-04-24,NEXT_DAY,
Day,2025-04-24,Day,2025-04-25,NEXT_DAY,
Day,2025-04-25,Day,2025-04-26,NEXT_DAY,
Day,2025-04-26,Day,2025-04-27,NEXT_DAY,
Day,2025-04-27,Day,2025-04-28,NEXT_DAY,
Day,2025-04-28,Day,2025-04-29,NEXT_DAY,
Day,2025-04-29,Day,2025-04-30,NEXT_DAY,
Day,2025-04-30,Day,2025-05-01,NEXT_DAY,
Day,2025-05-01,Day,2025-05-02,NEXT_DAY,
Day,2025-05-02,Day,2025-05-03,NEXT_DAY,
Day,2025-05-03,Day,2025-05-04,NEXT_DAY,
Day,2025-05-04,Day,2025-05-05,NEXT_DAY,
Day,2025-05-05,Day,2025-05-06,NEXT_DAY,
Day,2025-05-06,Day,2025-05-07,NEXT_DAY,
Day,2025-05-07,Day,2025-05-08,NEXT_DAY,
Day,2025-05-08,Day,2025-05-09,NEXT_DAY,
Day,2025-05-09,Day,2025-05-10,NEXT_DAY,
Day,2025-05-10,Day,2025-05-11,NEXT_DAY,
Day,2025-05-11,Day,2025-05-12,NEXT_DAY,
Day,2025-05-12,Day,2025-05-13,NEXT_DAY,
Day,2025-05-13,Day,2025-05-14,NEXT_DAY,
Day,2025-05-14,Day,2025-05-15,NEXT_DAY,
Day,2025-05-15,Day,2025-05-16,NEXT_DAY,
Day,2025-05-16,Day,2025-05-17,NEXT_DAY,
Day,2025-05-17,Day,2025-05-18,NEXT_DAY,
Day,2025-05-18,Day,2025-05-19,NEXT_DAY,
Day,2025-05-19,Day,2025-05-20,NEXT_DAY,
Day,2025-05-20,Day,2025-05-21,NEXT_DAY,
Day,2025-05-21,Day,2025-05-22,NEXT_DAY,
Day,2025-05-22,Day,2025-05-23,NEXT_DAY,
Day,2025-05-23,Day,2025-05-24,NEXT_DAY,
Day,2025-05-24,Day,2025-05-25,NEXT_DAY,
Day,2025-05-25,Day,2025-05-26,NEXT_DAY,
Day,2025-05-26,Day,2025-05-27,NEXT_DAY,
Day,2025-05-27,Day,2025-05-28,NEXT_DAY,
Day,2025-05-28,Day,2025-05-29,NEXT_DAY,
Day,2025-05-29,Day,2025-05-30,NEXT_DAY,
Day,2025-05-30,Day,2025-05-31,NEXT_DAY,
Day,2025-05-31,Day,2025-06-01,NEXT_DAY,
Day,2025-06-01,Day,2025-06-02,NEXT_DAY,
Day,2025-06-02,Day,2025-06-03,NEXT_DAY,
Day,2025-06-03,Day,2025-06-04,NEXT_DAY,
Day,2025-06-04,Day,2025-06-05,NEXT_DAY,
Day,2025-06-05,Day,2025-06-06,NEXT_DAY,
Day,2025-06-06,Day,2025-06-07,NEXT_DAY,
Day,2025-06-07,Day,2025-06-08,NEXT_DAY,
Day,2025-06-08,Day,2025-06-09,NEXT_DAY,
Day,2025-06-09,Day,2025-06-10,NEXT_DAY,
Day,2025-06-10,Day,2025-06-11,NEXT_DAY,
Day,2025-06-11,Day,2025-06-12,NEXT_DAY,
Day,2025-06-12,Day,2025-06-13,NEXT_DAY,
Day,2025-06-13,Day,2025-06-14,NEXT_DAY,
Day,2025-06-14,Day,2025-06-15,NEXT_DAY,
Day,2025-06-15,Day,2025-06-16,NEXT_DAY,
Day,2025-06-16,Day,2025-06-17,NEXT_DAY,
Day,2025-06-17,Day,2025-06-18,NEXT_DAY,
Day,2025-06-18,Day,2025-06-19,NEXT_DAY,
Day,2025-06-19,Day,2025-06-20,NEXT_DAY,
Day,2025-06-20,Day,2025-06-21,NEXT_DAY,
Day,2025-06-21,Day,2025-06-22,NEXT_DAY,
Day,2025-06-22,Day,2025-06-23,NEXT_DAY,
Day,2025-06-23,Day,2025-06-24,NEXT_DAY,
Day,2025-06-24,Day,2025-06-25,NEXT_DAY,
Day,2025-06-25,Day,2025-06-26,NEXT_DAY,
Day,2025-06-26,Day,2025-06-27,NEXT_DAY,
Day,2025-06-27,Day,2025-06-28,NEXT_DAY,
Day,2025-06-28,Day,2025-06-29,NEXT_DAY,
Day,2025-06-29,Day,2025-06-30,NEXT_DAY,
Day,2025-06-30,Day,2025-07-01,NEXT_DAY,
Day,2025-07-01,Day,2025-07-02,NEXT_DAY,
Day,2025-07-02,Day,2025-07-03,NEXT_DAY,
Day,2025-07-03,Day,2025-07-04,NEXT_DAY,
Day,2025-07-04,Day,2025-07-05,NEXT_DAY,
Day,2025-07-05,Day,2025-07-06,NEXT_DAY,
Day,2025-07-06,Day,2025-07-07,NEXT_DAY,
Day,2025-07-07,Day,2025-07-08,NEXT_DAY,
Day,2025-07-08,Day,2025-07-09,NEXT_DAY,
Day,2025-07-09,Day,2025-07-10,NEXT_DAY,
Day,2025-07-10,Day,2025-07-11,NEXT_DAY,
Day,2025-07-11,Day,2025-07-12,NEXT_DAY,
Day,2025-07-12,Day,2025-07-13,NEXT_DAY,
Day,2025-07-13,Day,2025-07-14,NEXT_DAY,
Day,2025-07-14,Day,2025-07-15,NEXT_DAY,
Day,2025-07-15,Day,2025-07-16,NEXT_DAY,
Day,2025-07-16,Day,2025-07-17,NEXT_DAY,
Day,2025-07-17,Day,2025-07-18,NEXT_DAY,
Day,2025-07-18,Day,2025-07-19,NEXT_DAY,
Day,2025-07-19,Day,2025-07-20,NEXT_DAY,
Day,2025-07-20,Day,2025-07-21,NEXT_DAY,
Day,2025-07-21,Day,2025-07-22,NEXT_DAY,
Day,2025-07-22,Day,2025-07-23,NEXT_DAY,
Day,2025-07-23,Day,2025-07-24,NEXT_DAY,
Day,2025-07-24,Day,2025-07-25,NEXT_DAY,
Day,2025-07-25,Day,2025-07-26,NEXT_DAY,
Day,2025-07-26,Day,2025-07-27,NEXT_DAY,
Day,2025-07-27,Day,2025-07-28,NEXT_DAY,
Day,2025-07-28,Day,2025-07-29,NEXT_DAY,
Day,2025-07-29,Day,2025-07-30,NEXT_DAY,
Day,2025-07-30,Day,2025-07-31,NEXT_DAY,
Day,2025-07-31,Day,2025-08-01,NEXT_DAY,
Day,2025-08-01,Day,2025-08-02,NEXT_DAY,
Day,2025-08-02,Day,2025-08-03,NEXT_DAY,
Day,2025-08-03,Day,2025-08-04,NEXT_DAY,
